prolificId,order,text,wordCount,createdAt
p19,1,Ultra power your life!,4,05:09.6
p19,2,Pro phone for pro users,5,05:09.6
p19,3,Social media made simple,4,05:09.6
p19,4,The world in your palm,5,05:09.6
p20,1,Give me a call,4,02:15.3
p20,2,Call you later,3,02:15.3
p20,3,Leave a message,3,02:15.3
p20,4,Just call me,3,02:15.3
p20,5,Phone call,2,02:15.3
p20,6,best phone,2,02:15.3
p20,7,tell a phone,3,02:15.3
p20,8,Text me,2,02:15.3
p20,9,Pick up the phone,4,02:15.3
p20,10,Let's talk,2,02:15.3
p20,11,Want to chat,3,02:15.3
p20,12,Love to talk,3,02:15.3
p20,13,Need to chat,3,02:15.3
p20,14,Chat awhile,2,02:15.3
p20,15,Please call,2,02:15.3
p20,16,My phone,2,02:15.3
p21,1,Take the world with you,5,05:09.4
p21,2,Your world in your hands,5,05:09.4
p21,3,Connected on your terms,4,05:09.4
p21,4,Confidently connected on your terms,5,05:09.4
p21,5,Smart and connected,3,05:09.4
p21,6,Smartly connected,2,05:09.4
p22,1,Love Being A Part of Life,6,03:18.3
p22,2,Think Connections,2,03:18.3
p22,3,Connecting You to What Matters,5,03:18.3
p22,4,Be True to Your Loved Ones,6,03:18.3
p22,5,Sample the Delights of Connecting,5,03:18.3
p22,6,One With Your Plans,4,03:18.3
p22,7,A Simple Text to Affirm Connection,6,03:18.3
p22,8,"Simple, Beautiful and All Yours",5,03:18.3
p22,9,Timing Is Everything,3,03:18.3
p22,10,That Certainty of Connection,4,03:18.3
p22,11,Enjoy the Sounds of Connection,5,03:18.3
p22,12,Always Simple to Connect with Friends,6,03:18.3
p22,13,Adjust Screen Colors for Fun,5,03:18.3
p23,1,A smartphone that turns the page,6,12:31.3
p23,2,When your phone is your life,6,12:31.3
p23,3,Nothing else will do,4,12:31.3
p23,4,Why trust just anyone?,4,12:31.3
p23,5,We heard you,3,12:31.3
p23,6,When you don't want any surprises,6,12:31.3
p23,7,Reliability at its finest,4,12:31.3
p24,1,Move with the screen,4,08:08.2
p24,2,On the go with the phone,6,08:08.2
p24,3,Phone that fits your life,5,08:08.2
p24,4,Swipe with ease,3,08:08.2
p24,5,Movement that excites,3,08:08.2
p24,6,Screen that entertains you,4,08:08.2
p25,1,Call whenever and wherever you want,6,04:32.1
p25,2,Capture every memorable moment,4,04:32.1
p25,3,Talk like face-to-face,3,04:32.1
p25,4,Your 7/24 companion,3,04:32.1
p26,1,Endless Cells,2,25:10.8
p26,2,Infinity at your fingertips,4,25:10.8
p26,3,Merging all your worlds,4,25:10.8
